,,,
Topic,#,Query,Answer
Aggregation,1,"Result of sum([True, True, False])",2
Aggregation,2,Count a list,len(lst)
Aggregation,3,Sum of a list,sum(lst)
Aggregation,4,Minimum of a list,min(lst)
Aggregation,5,Maximum of a list,max(lst)
Aggregation,6,Any of a boolean list are True,any(lst)
Aggregation,7,All of a boolean list are True,all(lst)
Aggregation,8,Mean of a list,no standard function
Aggregation,9,Variance of a list,no standard function
Aggregation,10,Standard deviation of a list,no standard function
Aggregation,11,Count of a numpy array,"arr.size (# elts), arr.shape (each dimension; if 1D, return a 1D tuple)"
Aggregation,12,Sum of a numpy array,np.sum(arr)
Aggregation,13,Minimum of a numpy array,np.min(arr) (or arr.min())
Aggregation,14,Maximum of a numpy array,np.max(arr) (or arr.max())
Aggregation,15,Any of a boolean array are True,np.any(arr) (or arr.any())
Aggregation,16,All of a boolean array are True,np.all(arr) (or arr.any())
Aggregation,17,Mean of a nump array (2 ways),"np.mean(arr), np.average(arr) # the latter can do a weighted mean"
Aggregation,18,Variance of a numpy array,np.var(arr)
Aggregation,19,Standard deviation of a numpy array,np.std(arr)
Aggregation,20,Median of a numpy array,np.median(arr)
Aggregation,21,Index of minimum value in a numpy array,"np.argmin(arr, axis=None) or arr.argmin(axis=None) - flattened if no axis"
Aggregation,22,Index of maximum value in a numpy array,"np.argmax(arr, axis=None) or arr.argmax(axis=None) - flattened if no axis"
Aggregation,23,"Meaning of axis = 0, 1, 2, … in numpy and pandas functions","axis = 0 causes the result of the operation to be a row. axis = 1 causes the result to be a column. In general, axis = N causes the result to be shaped like the set of all elements that have a particular value on axis N"
Aggregation,24,Count rows in a DataFrame (2 ways),"len(df.index), df.shape[0]"
Aggregation,25,Count columns in a DataFrame (2 ways),"len(df.columns), df.shape[1]"
Aggregation,26,Sum rows in a DataFrame,df.sum(axis = 0)
Aggregation,27,Sum columns in a DataFrame,df.sum(axis = 1)
Aggregation,28,Minimum in a DataFrame,df.min(axis = 0 or 1)
Aggregation,29,Maximum in a DataFrame,df.max(axis = 0 or 1)
Aggregation,30,Mean in a DataFrame,df.mean(axis = 0 or 1)
Aggregation,31,Variance in a DataFrame,df.var(axis = 0 or 1)
Aggregation,32,Standard deviation in a DataFrame,df.std(axis = 0 or 1)
Aggregation,33,Median in a DataFrame,df.median(axis = 0 or 1)
Aggregation,34,Mode in a DataFrame,df.mode(axis = 0 or 1)
Aggregation,35,Percentile in a DataFrame,"df.quantile(q = 0.5, axis = 0 or 1) # works for any q in [0, 1]; returns the value at the q *100'th percentile"
Aggregation,36,Index of minimum value in a DataFrame,df.idxmin(axis = 0 or 1)
Aggregation,37,Index of maximum value in a DataFrame,df.idxmax(axis = 0 or 1)
Aggregation,38,Group a DataFrame by column ‘col’ and count each column’s non-missing values in each group,df.groupby('col').count()
Aggregation,39,Group a DataFrame by column ‘col’ and count the number of rows in each group,df.groupby(‘col’).size()
Aggregation,40,Group a DataFrame by column ‘col’ and find the mean in each group,df.groupby('col').mean()
Aggregation,41,Group a DataFrame by column ‘col’ and find the sum in each group,df.groupby('col').sum()
Aggregation,42,"Median Absolute Deviation of a Series s. This is an alternative to the standard deviation. The median of a standard normal is about 2/3, while the std is 1.",abs(s - s.median()).median()
"Apply, Map",1,Create a column by applying fun to each row of df,"df.apply(fun, axis = 1) # returns a Series whose index is df’s index"
"Apply, Map",2,Create a row by applying fun to each column of df,"df.apply(fun, axis = 0) # returns a Series whose index is df’s columns"
